Lat,Long,AccidentCount
12.992198,80.182455,16
12.875621,80.082901,13
12.92723,80.118412,12
13.057336,80.257715,10
13.025699,80.230298,10
13.011249,80.218108,9
13.063737,80.250966,8
12.87563,80.082909,7
13.062136,80.263221,7
12.979753,80.22725,7
13.063779,80.250857,7
13.072698,80.262216,7
12.983254,80.127314,6
13.028477,80.235951,6
12.9842,80.171294,6
12.864715,80.074529,6
12.795946,80.020812,6
12.920214,80.11114,6
13.067206,80.253724,6
13.02925,80.266478,6
12.997932,80.191531,6
12.945427,80.183226,6
12.923111,80.123753,6
13.044476,80.2668,6
13.067699,80.272458,6
12.948956,80.138235,6
12.905336,80.095699,5
13.056,80.118032,5
13.065796,80.247859,5
12.885281,80.082671,5
12.897847,80.090023,5
13.048301,80.265702,5
13.063705,80.250766,5
12.967115,80.149089,5
13.063771,80.250819,5
12.922613,80.135628,5
12.878882,80.081049,5
12.944326,80.134872,5
13.006695,80.242892,5
13.063796,80.250747,5
13.079494,80.281607,5
12.879598,80.080102,5
12.717844,79.980981,5
12.955808,80.142908,5
13.055159,80.264319,5
12.942579,80.133398,5
13.063682,80.250968,5
13.006659,80.256791,5
12.697483,79.974535,5
12.943094,80.133652,5
12.961653,80.146127,5
12.970858,80.150803,5
13.002487,80.098676,5
13.053992,80.263087,5
12.875854,80.083766,5
12.961326,80.145671,5
12.997311,80.19076,5
12.931769,80.123,5
13.01884,80.267382,5
12.962166,80.146155,5
12.875664,80.082834,5
13.054208,80.260916,5
12.878925,80.08085,5
13.011303,80.218092,5
12.921173,80.166937,5
12.942722,80.133311,5
13.016094,80.259456,5
13.023387,80.107588,5
12.827656,80.042522,4
12.995673,80.188704,4
12.935986,80.126852,4
13.009716,80.213652,4
13.02226,80.263476,4
12.907627,80.097066,4
13.022228,80.226401,4
13.022206,80.263488,4
13.022385,80.263431,4
12.985559,80.173335,4
13.022102,80.263322,4
13.015087,80.224784,4
13.05835,80.265333,4
12.955811,80.142998,4
12.966492,80.14881,4
13.072912,80.262257,4
12.966371,80.14872,4
12.956382,80.143426,4
13.072528,80.263296,4
13.021823,80.263194,4
13.029163,80.236695,4
12.934879,80.125909,4
13.007921,80.234943,4
13.001448,80.195917,4
12.937121,80.128063,4
12.995792,80.188697,4
12.887068,80.083287,4
12.943622,80.134175,4
12.952934,80.141473,4
12.875646,80.082874,4
12.98674,80.175228,4
12.940172,80.130786,4
12.952387,80.14095,4
13.067021,80.175539,4
13.008522,80.210652,4
13.067044,80.270231,4
13.067075,80.270237,4
13.067096,80.254571,4
12.967775,80.149378,4
13.067269,80.2537,4
13.068484,80.255734,4
13.00233,80.200535,4
13.008672,80.230387,4
12.972163,80.151479,4
13.035019,80.245782,4
13.067681,80.249184,4
13.033201,80.243398,4
12.942248,80.132698,4
13.068207,80.27211,4
12.877697,80.084156,4
12.953111,80.141586,4
12.93949,80.12999,4
12.939132,80.129807,4
12.998831,80.192651,4
13.06374,80.250854,4
12.995836,80.188995,4
12.995841,80.188971,4
13.070916,80.258405,4
12.949944,80.139076,4
13.063793,80.250789,4
13.025887,80.23084,4
13.012343,80.221163,4
12.679746,79.980869,4
